Titre;Type;Ancienne URL;Statut Recommandé;Nouvelle URL Cible;Action FALC
"Santé mental";"page";"/sante-mental/";"Brouillon";"/a-trier";"OK"
"Endométriose";"page";"/endometriose/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/endometriose";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Événements printemps 2026";"page";"/evenements-printemps-2026/";"Publié";"/actualites/evenements-printemps-2026";"Synthèse FALC requise"
"Personnes âgées";"page";"/personnes-agees/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Événements hiver 2026";"page";"/evenements-hiver-2026/";"Publié";"/actualites/evenements-hiver-2026";"Synthèse FALC requise"
"Sclérose en plaque";"page";"/sclerose-en-plaque/";"Conserver (Réécriture FALC Fiche Courte)";"/pratiquants/conseils-par-pathologie/sclerose-en-plaque";"Réécriture Fiche Médicale Courte (Bénéfices, Précautions, Activités)"
"Evénements GHE hiver 2026";"page";"/evenements-ghe-hiver-2026/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Offres 2026";"page";"/offres-2026/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Offres d‘emplois et formations";"page";"/offres-demplois-et-formations/";"Intégrer en sous-page";"/professionnels/formateurs";"OK"
"Trouver un sport en club";"page";"/trouver-un-sport-en-club-2/";"Brouillon";"/a-trier";"OK"
"Trouver une pratique à faire à la maison";"page";"/trouver-une-pratique-a-faire-a-la-maison/";"Intégrer en sous-page";"/pratiquants/ou-pratiquer";"OK"
"Evénements GHE automne 2025";"page";"/evenements-ghe-automne-2025/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Evénements APA  Groupement Hospitalier Est (GHE)";"page";"/evenements-apa-groupement-hospitalier-est-ghe/";"Brouillon";"/a-trier";"OK"
"Événements sportifs 2026";"page";"/evenements-sportifs-2026/";"Publié";"/actualites/evenements-sportifs-2026";"OK"
"Aides au financement de la pratique";"page";"/aides-au-financement-de-la-pratique/";"Intégrer en sous-page";"/pratiquants/aides-financieres";"Synthèse FALC requise"
"Infos APA";"page";"/elementor-4577/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Événements automne 2025";"page";"/evenements-automne-2025/";"Publié";"/actualites/evenements-automne-2025";"Synthèse FALC requise"
"Trouver un club dans la région AURA";"page";"/trouver-un-club-dans-la-region-aura/";"Intégrer en sous-page";"/pratiquants/ou-pratiquer";"OK"
"Les annuaires nationaux";"page";"/les-annuaires-nationaux/";"Intégrer en sous-page";"/pratiquants/ou-pratiquer";"OK"
"Trouver un Enseignant en APA";"page";"/trouver-un-enseignant-en-apa/";"Brouillon";"/a-trier";"OK"
"Trouver un kinésithérapeute";"page";"/trouver-un-kinesitherapeute/";"Brouillon";"/a-trier";"OK"
"Où pratiquer ?";"page";"/ou-pratiquer/";"Intégrer en sous-page";"/pratiquants/ou-pratiquer";"OK"
"Tester vos connaissances sur l&rsquo,Activité Physique";"page";"/https-handiboost-fr-tester-vos-connaissances-sur-lactivite-physique/";"Intégrer en sous-page";"/pratiquants/tester-ses-connaissances";"OK"
"Evénements été 2025";"page";"/evenements-ete-2025/";"Brouillon";"/a-trier";"OK"
"Evénements juillet 2025";"page";"/evenements-juillet-2025/";"Brouillon";"/a-trier";"OK"
"Test physique";"page";"/test-physique/";"Brouillon";"/a-trier";"OK"
"recommandations";"page";"/recommandations/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Questionnaires";"page";"/questionnaires/";"Brouillon";"/a-trier";"Synthèse FALC requise"
"Aides au bilan en Activité Physique Adaptée (APA)";"page";"/aides-au-bilan-en-activite-physique-adaptee-apa/";"Intégrer en sous-page";"/professionnels/outils-accompagnement";"OK"
"Fiche d&rsquo,aide à la prescription d&rsquo,APA";"page";"/fiche-daide-a-la-prescription-dapa-selon-la-pathologie/";"Intégrer en sous-page";"/professionnels/prescription-apa";"OK"
"Les outils pour la prescription d’APA";"page";"/les-outils-pour-la-prescription-dapa/";"Intégrer en sous-page";"/professionnels/prescription-apa";"Synthèse FALC requise"
"Aide à la prescription de l&rsquo,Activité Physique Adaptée (APA)";"page";"/aide-a-la-prescription-de-lactivite-physique-adaptee-apa/";"Intégrer en sous-page";"/professionnels/prescription-apa";"OK"
"Événements avril 2024";"page";"/evenements-avril-2024/";"Archiver / Ne pas migrer";"-";"Synthèse FALC requise"
"Evénements décembre 2024";"page";"/evenements-decembre-2024/";"Brouillon";"/a-trier";"OK"
"Evénements novembre 2024";"page";"/evenements-novembre-2024/";"Brouillon";"/a-trier";"OK"
"Evénements octobre 2024";"page";"/evenement-octobre-2024/";"Brouillon";"/a-trier";"OK"
"Evénements printemps 2024";"page";"/evenements-printemps-2024/";"Brouillon";"/a-trier";"OK"
"Evénements automne 2024";"page";"/evenements-automne-2024/";"Brouillon";"/a-trier";"OK"
