Ancienne URL;Nouvelle URL
"/endometriose/";"/pratiquants/conseils-par-pathologie/endometriose"
"/evenements-printemps-2026/";"/actualites/evenements-printemps-2026"
"/evenements-hiver-2026/";"/actualites/evenements-hiver-2026"
"/sclerose-en-plaque/";"/pratiquants/conseils-par-pathologie/sclerose-en-plaque"
"/offres-demplois-et-formations/";"/professionnels/formateurs"
"/trouver-une-pratique-a-faire-a-la-maison/";"/pratiquants/ou-pratiquer"
"/evenements-sportifs-2026/";"/actualites/evenements-sportifs-2026"
"/aides-au-financement-de-la-pratique/";"/pratiquants/aides-financieres"
"/evenements-automne-2025/";"/actualites/evenements-automne-2025"
"/trouver-un-club-dans-la-region-aura/";"/pratiquants/ou-pratiquer"
"/les-annuaires-nationaux/";"/pratiquants/ou-pratiquer"
"/ou-pratiquer/";"/pratiquants/ou-pratiquer"
"/https-handiboost-fr-tester-vos-connaissances-sur-lactivite-physique/";"/pratiquants/tester-ses-connaissances"
"/aides-au-bilan-en-activite-physique-adaptee-apa/";"/professionnels/outils-accompagnement"
"/fiche-daide-a-la-prescription-dapa-selon-la-pathologie/";"/professionnels/prescription-apa"
"/les-outils-pour-la-prescription-dapa/";"/professionnels/prescription-apa"
"/aide-a-la-prescription-de-lactivite-physique-adaptee-apa/";"/professionnels/prescription-apa"
"/evenements-fevrier-2025/";"/actualites/evenements-fevrier-2025"
"/paralysie-cerebrale/";"/pratiquants/conseils-par-pathologie/paralysie-cerebrale"
"/activites-physiques-et-mucoviscidose/";"/pratiquants/conseils-par-pathologie/activites-physiques-et-mucoviscidose"
"/activites-physiques-et-maladies-cerebelleuses/";"/pratiquants/conseils-par-pathologie/activites-physiques-et-maladies-cerebelleuses"
"/activites-physiques-et-maladies-neuromusculaires/";"/pratiquants/conseils-par-pathologie/activites-physiques-et-maladies-neuromusculaires"
"/activites-physiques-et-pathologies-cerebelleuses/";"/pratiquants/conseils-par-pathologie/pathologies-cerebelleuses"
"/outils-pedagogiques-activite-physique/";"/professionnels/outils-accompagnement"
"/guidebooster-handiboost/";"/guide-booster"
"/temoignages/";"/temoignages"
"/references/";"/professionnels/references"
"/maladies-neuromusculaires/";"/pratiquants/conseils-par-pathologie/maladies-neuromusculaires"
"/contact/";"/contact"
"/annuaire/";"/pratiquants/ou-pratiquer"
"/actu-strategie-nationale-sport-et-handicap-2030/";"/actualites/actu-strategie-nationale-sport-et-handicap-2030"
"/journee-handiboost-du-3-juin-2026/";"/actualites/journee-handiboost-du-3-juin-2026"
"/actu-strategie-nationale-2025-2030/";"/actualites/actu-strategie-nationale-2025-2030"
"/actu-guide-des-pietons-engages/";"/actualites/actu-guide-des-pietons-engages"
"/actu-rapport-delandre/";"/actualites/actu-rapport-delandre-sur-le-sport-sante"
"/actu-lapa-reconnue-en-hospitalisation-a-domicile/";"/actualites/actu-lapa-reconnue-en-hospitalisation-a-domicile"
"/actu-soutien-des-mutuelles-dans-lactivite-physique/";"/actualites/actu-soutien-des-mutuelles-dans-lactivite-physique"
"/actu-vers-un-remboursement-de-lapa-pour-les-maladies-cardiovasculaires/";"/actualites/actu-vers-un-remboursement-de-lapa-pour-les-maladies-cardiovasculaires"
"/4651-2/";"/actualites/actu-soutien-financier-pour-les-personnes-ayant-un-cancer-du-sein"
"/actu-fauteuils-roulants-rembourses-a-100-des-decembre-2025/";"/actualites/actu-fauteuils-roulants-rembourses-a-100-des-decembre-2025"
"/actu-sport-et-handicap-la-pch-elargit-ses-aides/";"/actualites/actu-sport-et-handicap-la-pch-elargit-ses-aides"
"/actu-la-reglosport-contre-les-violences-dans-le-sport/";"/actualites/actu-la-reglosport-contre-les-violences-dans-le-sport"
"/actu-ilot-sportif-a-venissieux/";"/actualites/actu-ilot-sportif-a-venissieux"
"/actu-parasport-les-evolutions-a-retenir/";"/actualites/actu-parasport-les-evolutions-a-retenir"
"/4490-2/";"/actualites/evenements-apa-au-ghe-automne"
"/3451-2/";"/actualites/journee-handiboost-du-4-juin-2025"
"/evenements-activite-physique-adaptee-ghe/";"/actualites/evenements-activite-physique-adaptee-au-ghe"
"/hopital-femme-mere-enfant/";"/actualites/lrsquoactivite-physique-adaptee-hopital-femme-mere-enfant-bron"
"/journee-handiboost-2024/";"/actualites/journee-handiboost-du-5-juin-2024"
"/journee-handiboost-2023-bougezcommevousetes-2/";"/actualites/journee-handiboost-du-7-juin-2023"
"/journee-handiboost-du-8-juin-2022/";"/actualites/journee-handiboost-du-8-juin-2022"
"/reportage-photos/";"/actualites/reportage-photos"
